rank,walletAddress,nickName,volumeUsd,realizedPnlUsd,expectedRewardsAeon,rewardUnit,buyTxCount,sellTxCount,totalTxCount
44,0x3c4b289f6fa3c69a238ff3ce9faad39f347378d5,0x3c4b...78d5,35225.394632801307033855,-149.227747997287803120,3735,AEON,,,
45,0xac8cb4e05a35ee4f5c4d904f034cb47b33901bed,0xac8c...1bed,34796.882504787666452288,-162.839495212333523427,3735,AEON,,,
46,0xa5397d4160d2f5decb59e24d1cd5094285a73725,0xa539...3725,34340.499857112603708543,-132.884857663198573004,3735,AEON,,,
47,0x187b04cdf2a6dc4923b8ec3ee65e0482e41b895e,0x187b...895e,33723.110233096806003110,-135.040702261970352275,3735,AEON,,,
48,0x4dd2841c3d8591d4976dfbc57bd28d051c8c2b05,0x4dd2...2b05,32243.554498628539809026,-133.830224144118572086,3735,AEON,,,
49,0xdf59f5544e031ed23bc1239e2cc07917608acb7b,0xdf59...cb7b,31829.080031942617989613,-133.319968057382017144,3735,AEON,18,17,35
50,0x8eee946dd2e1a35a1758f8ac116e6720e10b8a86,0x8eee...8a86,31465.458183568349789299,-141.524748417357958293,3735,AEON,102,100,202
51,0x29c2b579e78ddbc475455337efc6ab6cc3c936ac,0x29c2...36ac,31373.162663728322609100,-129.347343609592901102,2260,AEON,104,107,211
52,0x819d19e32b1ba8358bd6a97b70197837c70d9b06,0x819d...9b06,31265.653508725299511448,-127.854159593969752479,2260,AEON,,,
53,0xcac65c59f087a8cf0ace48e7837554d1c9141eb1,0xcac6...1eb1,29843.586421603416790479,-122.009578396583209319,2260,AEON,91,92,183
54,0x63d5d4ad1ff3ff4ecebaaef502c77d69ba54cbf1,0x63d5...cbf1,29843.568775125443019925,-121.463224874556981999,2260,AEON,88,95,183
55,0xfa69b14cb4bba273598bd01d4381417b0bea84d4,安,29836.688542179700925829,-129.031457820299083015,2260,AEON,,,
56,0x77526336d26211edf89a0a55035321e46d699749,0x7752...9749,29599.192853241570528243,-126.333546758429478744,2260,AEON,,,
57,0xb912f5c521fccc5e160107ce3f07bb1143b22941,0xb912...2941,28648.990209308294450443,-119.779790691705547672,2260,AEON,,,
58,0xb50eb7576d52817d2b412cb49a77f33e5380ec21,0xb50e...ec21,28446.546862755397744710,-120.351137244602243157,2260,AEON,,,
59,0x62ae8c555333c730a0973bec740c13b999d24031,0x62ae...4031,28257.008686817185860998,-116.089313182814158637,2260,AEON,,,
60,0x4fb90f3157d15e50232688b74ab8878010fbe6d7,0x4fb9...e6d7,28057.189788596456782857,-114.958211403543239596,2260,AEON,,,
